"","Method","alpha","V3","par_real","median","inter.lower","inter.upper","par_real_in_interval","sd_","bias","relative_bias"
"1","Method_1","0.35","(Intercept)_a",2.973018248,2.02240439695427,1.47080984643027,2.36896517308717,0,0.221979074210994,-0.95061385104573,-0.319747062328065
"2","Method_1","0.35","sent_a",0.250886046,0.250876651184327,0.133656969121726,0.361137969486744,1,0.0564706027128405,-9.39481567346911e-06,-3.74465452473555e-05
"3","Method_1","0.35","cost_a",-0.001380885,0.00148521557053838,-0.0862298605680705,0.0901362478554519,1,0.0443672823213394,0.00286610057053839,-2.07555340997866
"4","Method_1","0.35","(Intercept)_delta",-8.373751993,-3.29558714919072,-4.31644193319502,-2.19342901050818,0,0.536102875081355,5.07816484380928,-0.606438409933128
"5","Method_1","0.35","semester2_delta",-0.309405318,-0.124312046119828,-0.653846864418087,0.384683395920845,1,0.271059589834745,0.185093271880172,-0.598222658474707
"6","Method_1","0.35","alpha",0.35,0.686948164661533,0.636880586788655,0.749559533067626,0,0.0286460750079157,0.336948164661533,0.962709041890094
"7","Method_1","0.50","(Intercept)_a",2.973018248,2.33703931733352,1.96917924184608,2.57381545682287,0,0.153510783595817,-0.63597893066648,-0.213916928055962
"8","Method_1","0.50","sent_a",0.250886046,0.248675613482161,0.136341154461532,0.366908701005219,1,0.058778281364851,-0.00221043251783898,-0.00881050402396225
"9","Method_1","0.50","cost_a",-0.001380885,-0.0023227693557124,-0.0785245442952305,0.0780834764544907,1,0.0405391090396269,-0.0009418843557124,0.682087469783798
"10","Method_1","0.50","(Intercept)_delta",-8.373751993,-4.4571092724216,-5.55080492661165,-3.28393626305642,0,0.580511159651075,3.9166427205784,-0.467728531230982
"11","Method_1","0.50","semester2_delta",-0.309405318,-0.165480250285375,-0.800597982619448,0.451282758470649,1,0.323287361991415,0.143925067714625,-0.465166754873376
"12","Method_1","0.50","alpha",0.5,0.744610433474591,0.685365560706237,0.811752960506792,0,0.0309037384530393,0.244610433474591,0.489220866949182
"13","Method_1","0.65","(Intercept)_a",2.973018248,2.57324641728137,2.34365388104506,2.77794987781682,0,0.111896507746344,-0.399771830718625,-0.13446665892063
"14","Method_1","0.65","sent_a",0.250886046,0.253030006174922,0.153578197457132,0.351026780895677,1,0.0504258828877541,0.00214396017492202,0.0085455536850464
"15","Method_1","0.65","cost_a",-0.001380885,-0.00262855178395965,-0.0613220432098338,0.0590646608424411,1,0.0318573921565359,-0.00124766678395965,0.903526929439924
"16","Method_1","0.65","(Intercept)_delta",-8.373751993,-5.6648093566259,-6.74608776875226,-4.59764637489901,0,0.570209384694024,2.70894263637411,-0.32350404438042
"17","Method_1","0.65","semester2_delta",-0.309405318,-0.1929228777694,-0.885353262517204,0.460996457058463,1,0.345761569633209,0.1164824402306,-0.3764720043713
"18","Method_1","0.65","alpha",0.65,0.81276132090883,0.753317333438747,0.880579513660415,0,0.0319645212919991,0.16276132090883,0.250402032167431
"19","Method_1","0.80","(Intercept)_a",2.973018248,2.78270894580393,2.59858516629951,2.93823702263512,0,0.0869045558842161,-0.19030930219607,-0.0640121540875487
"20","Method_1","0.80","sent_a",0.250886046,0.25055447314532,0.167234139992931,0.332792793795147,1,0.0424837183122416,-0.000331572854679996,-0.00132160739892244
"21","Method_1","0.80","cost_a",-0.001380885,-0.00365398882304433,-0.0517158480785635,0.0460370397696695,1,0.0250917219700086,-0.00227310382304433,1.64612101879905
"22","Method_1","0.80","(Intercept)_delta",-8.373751993,-6.91335152897155,-8.0735510311533,-5.84394657153189,0,0.575237193135856,1.46040046402845,-0.174402163480512
"23","Method_1","0.80","semester2_delta",-0.309405318,-0.252494129877437,-1.00446306686708,0.470462871141555,1,0.381997748883741,0.056911188122563,-0.183937330135234
"24","Method_1","0.80","alpha",0.8,0.888785791448541,0.832815062391853,0.955313931427015,0,0.031922460680513,0.0887857914485405,0.110982239310676
"25","Method_1","0.95","(Intercept)_a",2.973018248,2.94645562964527,2.8048633095045,3.07566143721197,1,0.0693060564753251,-0.0265626183547298,-0.00893456283781607
"26","Method_1","0.95","sent_a",0.250886046,0.252863876369745,0.179477827244671,0.318716951868253,1,0.0343496840986626,0.00197783036974503,0.00788338132502206
"27","Method_1","0.95","cost_a",-0.001380885,-0.00117123740683362,-0.0359505490085157,0.0322597864184073,1,0.0173870469382718,0.00020964759316638,-0.15182118218851
"28","Method_1","0.95","(Intercept)_delta",-8.373751993,-8.17453830652432,-9.35060453556163,-7.09501674344557,1,0.584845450938121,0.19921368647568,-0.0237902539557192
"29","Method_1","0.95","semester2_delta",-0.309405318,-0.281267699399259,-1.08090285423538,0.448574673340123,1,0.385454880597418,0.028137618600741,-0.0909409663111899
"30","Method_1","0.95","alpha",0.95,0.97522358353898,0.920197209090264,1,1,0.0246197100526321,0.02522358353898,0.0265511405673474
"31","Method_2","0.35","(Intercept)_a",2.973018248,2.55195611070133,2.09863811819946,2.87025027293862,0,0.189285653216747,-0.421062137298665,-0.141627834804553
"32","Method_2","0.35","sent_a",0.250886046,0.251802309222932,0.066407848353988,0.420061392423838,1,0.0998913740930727,0.000916263222932034,0.00365210914493042
"33","Method_2","0.35","cost_a",-0.001380885,-0.00276002930072646,-0.162354673495627,0.155526924302529,1,0.104252164083066,-0.00137914430072646,0.998739432122487
"34","Method_2","0.35","(Intercept)_delta",-8.373751993,-8.089549592844,-9.98447853702667,-5.60811293965683,1,1.00834703123026,0.284202400155996,-0.0339396724901303
