"sent" "cost" "semester"
"1" 0.5 0.866025403784439 "1"
"2" 0.866025403784439 0.5 "1"
"3" 1 6.12303176911189e-17 "1"
"4" 0.866025403784439 -0.5 "1"
"5" 0.5 -0.866025403784439 "1"
"6" 1.22460635382238e-16 -1 "1"
"7" -0.5 -0.866025403784439 "2"
"8" -0.866025403784438 -0.5 "2"
"9" -1 -1.83690953073357e-16 "2"
"10" -0.866025403784439 0.5 "2"
"11" -0.5 0.866025403784438 "2"
"12" -2.44921270764475e-16 1 "2"
"13" 0.5 0.866025403784439 "1"
"14" 0.866025403784439 0.5 "1"
"15" 1 6.12303176911189e-17 "1"
"16" 0.866025403784439 -0.5 "1"
"17" 0.5 -0.866025403784439 "1"
"18" 1.22460635382238e-16 -1 "1"
"19" -0.5 -0.866025403784439 "2"
"20" -0.866025403784438 -0.5 "2"
"21" -1 -1.83690953073357e-16 "2"
"22" -0.866025403784439 0.5 "2"
"23" -0.5 0.866025403784438 "2"
"24" -2.44921270764475e-16 1 "2"
"25" 0.5 0.866025403784439 "1"
"26" 0.866025403784439 0.5 "1"
"27" 1 6.12303176911189e-17 "1"
"28" 0.866025403784439 -0.5 "1"
"29" 0.5 -0.866025403784439 "1"
"30" 1.22460635382238e-16 -1 "1"
"31" -0.5 -0.866025403784439 "2"
"32" -0.866025403784438 -0.5 "2"
"33" -1 -1.83690953073357e-16 "2"
"34" -0.866025403784439 0.5 "2"
"35" -0.5 0.866025403784438 "2"
"36" -2.44921270764475e-16 1 "2"
"37" 0.5 0.866025403784439 "1"
"38" 0.866025403784439 0.5 "1"
"39" 1 6.12303176911189e-17 "1"
"40" 0.866025403784439 -0.5 "1"
"41" 0.5 -0.866025403784439 "1"
"42" 1.22460635382238e-16 -1 "1"
"43" -0.5 -0.866025403784439 "2"
"44" -0.866025403784438 -0.5 "2"
"45" -1 -1.83690953073357e-16 "2"
"46" -0.866025403784439 0.5 "2"
"47" -0.5 0.866025403784438 "2"
"48" -2.44921270764475e-16 1 "2"
"49" 0.5 0.866025403784439 "1"
"50" 0.866025403784439 0.5 "1"
"51" 1 6.12303176911189e-17 "1"
"52" 0.866025403784439 -0.5 "1"
"53" 0.5 -0.866025403784439 "1"
"54" 1.22460635382238e-16 -1 "1"
"55" -0.5 -0.866025403784439 "2"
"56" -0.866025403784438 -0.5 "2"
"57" -1 -1.83690953073357e-16 "2"
"58" -0.866025403784439 0.5 "2"
"59" -0.5 0.866025403784438 "2"
"60" -2.44921270764475e-16 1 "2"
"61" 0.5 0.866025403784439 "1"
"62" 0.866025403784439 0.5 "1"
"63" 1 6.12303176911189e-17 "1"
"64" 0.866025403784439 -0.5 "1"
"65" 0.5 -0.866025403784439 "1"
"66" 1.22460635382238e-16 -1 "1"
